47127,71639,0
47128,72335,2.5
47133,71953,4
47134,72632,3
47135,72401,2.5
47138,71852,3
47139,71822,3.5
47140,71671,3
47145,72472,3
47147,71901,3.5
47148,72455,2.5
47149,72756,3.5
47151,71913,3.5
47153,72830,3
47156,72855,3
47157,72958,4
47158,72949,4
47162,71953,3
47167,72031,3
47168,71854,3
47169,71742,3
47170,72703,3
47171,72927,3.5
47172,72703,3
47173,72801,2.5
47174,71901,3.5
47175,72542,3
47176,72653,0
47177,71832,3.5
47178,72204,3.5
47306,71657,0
47307,71653,0
47308,71635,0
47309,71665,0
47310,71667,0
47313,72150,0
47314,71671,0
47315,72160,0
47326,71923,4.5
47338,72626,4
47339,72903,4
47346,72756,3.5
47800,71646,2
47801,72653,2
47803,72601,1.5
47804,71671,0
47805,72616,2
47806,71653,2.5
47807,71923,3
47809,72543,3
47810,71753,3
47811,72110,2
47812,72401,2
47814,72301,2.5
47816,71742,0
47818,71655,2
47819,72032,0
47820,72576,2
47821,71901,0
47822,72150,0
47823,72450,3
47824,71801,3
47825,72104,2.5
47826,71852,0
47827,72501,2
47828,72112,2
47829,71603,2.5
47830,72830,1.5
47831,71845,3.5
47832,72476,2.5
47833,72360,1.5
47834,71667,2
47835,72855,2
47836,72086,3
47837,72687,2.5
47838,71854,2
47839,72315,2
47840,72021,1.5
47841,71957,0
47842,71857,2.5
47844,71701,2
47845,72126,2.5
47846,72390,2
47847,71958,2
47848,72432,2.5
47849,71953,2
47850,72801,2.5
47851,72040,1.5
47852,72455,1.5
47853,72335,2.5
47854,72015,2.5
47855,72958,2.5
47858,72513,2.5
47859,71730,0
47860,72031,2.5
47862,72143,2.5
47863,72006,2.5
47864,72834,2.5
47865,72160,2.5
47869,72650,3
47870,72556,2.5
47871,72560,2.5
47872,72641,2.5
47873,71665,2
47874,72396,2.5
47875,71832,0
47876,71822,0
47877,71744,0
47878,72454,2.5
47880,72833,0
47883,72042,2.5
47884,72927,0
47886,71635,1.5
47887,71639,0
47888,72202,2
47889,72370,2
57002,93942,4
57003,94133,3.5
57004,94520,3.5
57007,95062,4
57008,91711,3
57013,92507,2
57018,91107,3.5
57019,95667,3
57021,92705,3.5
57031,94945,4
57033,94118,2.5
57036,95401,3.5
57040,93003,3.5
57053,90010,3.5
57071,94118,3
57072,92653,3.5
57100,92354,3
57114,92108,4
57129,91754,0
57135,93710,4.5
57136,92840,3.5
57138,94574,3.5
57143,92108,3.5
57163,93103,4
57187,90638,4
57190,94085,4
57198,95821,3.5
57200,96161,3.5
57203,93401,3.5
57205,96080,4
57212,95203,3.5
57214,93710,2.5
57219,94534,2.5
57226,96150,3.5
57230,93555,4
57234,95338,2.5
57246,90802,0
57248,93726,3
57252,90010,4
57255,93291,3.5
57256,95501,3
57258,95110,5
57274,95695,3.5
57276,94520,3.5
57278,95242,3
57368,93401,3
57374,95815,0
57404,95758,2.5
57407,95403,3
57412,95628,4
57413,92507,0
57415,92227,3.5
57422,90621,3.5
57426,95207,2.5
57427,95531,3.5
57432,92408,3.5
57433,90230,0
57445,91367,4
57447,90723,5
